MapDate,AreaOfInterest,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20220201,CONUS,27.79,72.21,55.24,36.52,12.22,1.34,2022-02-01,2022-02-07,1
20220125,CONUS,29.13,70.87,55.20,36.39,12.21,1.32,2022-01-25,2022-01-31,1
20220118,CONUS,29.03,70.97,55.10,36.01,11.29,1.19,2022-01-18,2022-01-24,1
20220111,CONUS,28.18,71.82,54.98,35.34,11.49,1.24,2022-01-11,2022-01-17,1
20220104,CONUS,28.18,71.82,54.81,35.13,12.37,1.55,2022-01-04,2022-01-10,1
20211228,CONUS,26.51,73.49,55.29,36.26,14.01,1.90,2021-12-28,2022-01-03,1
20211221,CONUS,27.58,72.42,55.20,36.71,17.57,3.68,2021-12-21,2021-12-27,1
20211214,CONUS,26.05,73.95,55.14,36.68,17.74,4.55,2021-12-14,2021-12-20,1
20211207,CONUS,28.00,72.00,55.54,37.11,17.84,4.97,2021-12-07,2021-12-13,1
20211130,CONUS,30.95,69.05,53.42,35.11,17.77,5.33,2021-11-30,2021-12-06,1
20211123,CONUS,34.49,65.51,50.53,33.00,17.24,5.33,2021-11-23,2021-11-29,1
20211116,CONUS,36.53,63.47,48.80,32.54,17.17,5.33,2021-11-16,2021-11-22,1
20211109,CONUS,37.05,62.95,48.09,32.60,17.71,5.46,2021-11-09,2021-11-15,1
20211102,CONUS,37.22,62.78,47.81,32.93,17.98,5.74,2021-11-02,2021-11-08,1
20211026,CONUS,35.79,64.21,47.34,33.81,19.08,6.04,2021-10-26,2021-11-01,1
20211019,CONUS,38.32,61.68,46.46,33.64,20.77,6.68,2021-10-19,2021-10-25,1
20211012,CONUS,37.47,62.53,47.32,35.30,22.23,7.02,2021-10-12,2021-10-18,1
20211005,CONUS,37.64,62.36,47.45,36.47,23.09,7.07,2021-10-05,2021-10-11,1
20210928,CONUS,37.35,62.65,47.84,36.60,23.11,7.27,2021-09-28,2021-10-04,1
20210921,CONUS,39.13,60.87,46.56,35.37,22.73,7.22,2021-09-21,2021-09-27,1
20210914,CONUS,41.55,58.45,45.61,35.68,23.77,7.53,2021-09-14,2021-09-20,1
20210907,CONUS,45.14,54.86,45.61,35.71,23.98,7.61,2021-09-07,2021-09-13,1
20210831,CONUS,44.48,55.52,46.63,36.60,24.49,7.92,2021-08-31,2021-09-06,1
20210824,CONUS,44.39,55.61,47.33,38.03,25.64,8.37,2021-08-24,2021-08-30,1
20210817,CONUS,43.72,56.28,47.18,38.47,26.80,9.23,2021-08-17,2021-08-23,1
20210810,CONUS,43.78,56.22,46.82,39.04,26.46,9.06,2021-08-10,2021-08-16,1
20210803,CONUS,45.83,54.17,46.31,39.03,25.99,8.92,2021-08-03,2021-08-09,1
20210727,CONUS,46.46,53.54,46.31,38.39,25.48,8.84,2021-07-27,2021-08-02,1
20210720,CONUS,45.94,54.06,46.34,38.04,25.59,10.00,2021-07-20,2021-07-26,1
20210713,CONUS,44.22,55.78,46.45,37.08,24.17,9.88,2021-07-13,2021-07-19,1
20210706,CONUS,42.48,57.52,47.27,36.69,22.71,9.49,2021-07-06,2021-07-12,1
20210629,CONUS,41.48,58.52,47.19,35.71,22.74,9.71,2021-06-29,2021-07-05,1
20210622,CONUS,39.32,60.68,47.67,34.72,21.82,9.87,2021-06-22,2021-06-28,1
20210615,CONUS,39.88,60.12,46.01,32.92,21.43,9.89,2021-06-15,2021-06-21,1
20210608,CONUS,38.79,61.21,45.22,32.04,21.26,9.89,2021-06-08,2021-06-14,1
20210601,CONUS,41.00,59.00,43.70,30.48,20.99,9.77,2021-06-01,2021-06-07,1
20210525,CONUS,38.64,61.36,43.42,30.16,21.25,10.23,2021-05-25,2021-05-31,1
20210518,CONUS,40.31,59.69,44.22,31.04,21.89,9.71,2021-05-18,2021-05-24,1
20210511,CONUS,38.85,61.15,46.16,31.89,22.50,9.54,2021-05-11,2021-05-17,1
20210504,CONUS,34.36,65.64,46.55,32.24,22.56,9.04,2021-05-04,2021-05-10,1
20210427,CONUS,31.73,68.27,48.37,32.48,21.72,9.22,2021-04-27,2021-05-03,1
20210420,CONUS,35.32,64.68,47.27,31.82,21.14,9.09,2021-04-20,2021-04-26,1
20210413,CONUS,37.45,62.55,45.50,31.31,20.86,9.06,2021-04-13,2021-04-19,1
20210406,CONUS,35.64,64.36,45.05,30.70,20.24,8.92,2021-04-06,2021-04-12,1
